verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,label,article_title,article_content
half-true,Marco Rubio,"Military spending cuts, known as the sequester, were President Barack Obama’s idea.",2/12/2013,other,Molly Moorhead,2/12/2013,https://www.politifact.com/factchecks/2013/feb/13/marco-rubio/marco-rubio-says-sequester-was-obamas-idea/,1,,"Military spending cuts, known as the sequester, were President Barack Obama’s idea."
true,Rick Scott,Says the military accounts for about 10 percent of Florida's economy.,12/6/2010,news,Aaron Sharockman,12/7/2010,https://www.politifact.com/factchecks/2010/dec/07/rick-scott/rick-scott-says-military-makes-nearly-10-percent-f/,1,,Says the military accounts for about 10 percent of Florida's economy.
mostly-true,Barack Obama,"""14,000 Americans . . . lose their health insurance every single day.""",7/22/2009,news,Louis Jacobson,7/24/2009,https://www.politifact.com/factchecks/2009/jul/24/barack-obama/obama-claims-14000-lose-health-insurance-every-day/,1,,"""14,000 Americans . . . lose their health insurance every single day."""
true,Kevin Brady,"""Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas' sales tax deduction a decade ago.""",12/17/2014,news,W. Gardner Selby,12/23/2014,https://www.politifact.com/factchecks/2014/dec/23/kevin-brady/kevin-brady-says-sales-tax-deduction-has-saved-tex/,1,,"""Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas' sales tax deduction a decade ago."""
true,Alex Sink,"""Florida ranks last in the ratio of employees to residents... And Florida is dead last in the nation in state employee payroll expenditures per resident.""",9/13/2010,campaign,Amy Sherman,9/14/2010,https://www.politifact.com/factchecks/2010/sep/14/alex-sink/alex-sink-says-florida-last-two-state-employee-mea/,1,,"""Florida ranks last in the ratio of employees to residents... And Florida is dead last in the nation in state employee payroll expenditures per resident."""
mostly-true,Jerrold Nadler,"""In 2011, for example, the United Kingdom had 146 deaths due to gun violence; Denmark, 71; Portugal, 142; and Japan, 30. But last year, in the United States, almost 40,000.""",2/6/2019,testimony,Yanqi Xu,2/14/2019,https://www.politifact.com/factchecks/2019/feb/14/jerrold-nadler/does-us-have-more-gun-deaths-1-day-other-countries/,1,,"""In 2011, for example, the United Kingdom had 146 deaths due to gun violence; Denmark, 71; Portugal, 142; and Japan, 30. But last year, in the United States, almost 40,000."""
mostly-true,Anonymous Activist,"""500 percent more traffic here?""",5/19/2015,blog,W. Gardner Selby,6/9/2015,https://www.politifact.com/factchecks/2015/jun/09/anonymous-activist/austin-yard-signs-suggest-office-tower-project-cou/,1,,"""500 percent more traffic here?"""
half-true,Donald Trump,"Robert Mueller’s investigative team has ""13 hardened Democrats, some big Crooked Hillary supporters, and Zero Republicans.""",3/18/2018,social_media,Louis Jacobson,3/21/2018,https://www.politifact.com/factchecks/2018/mar/21/donald-trump/fact-checking-donald-trumps-claims-about-Mueller/,1,,"Robert Mueller’s investigative team has ""13 hardened Democrats, some big Crooked Hillary supporters, and Zero Republicans."""
mostly-true,Terry McAuliffe,"""All (Maryland) crabs are born in Virginia.""",7/21/2015,radio,Warren Fiske,7/27/2015,https://www.politifact.com/factchecks/2015/jul/27/terry-mcauliffe/terry-mcauliffe-says-all-maryland-crabs-are-born-v/,1,,"""All (Maryland) crabs are born in Virginia."""
half-true,Chris Devaney,"President Obama campaign surrogate Maryland Gov. Martin O’Malley ""acknowledged that we are not better off than we were four years ago.""",9/4/2012,blog,Michael Collins,9/21/2012,https://www.politifact.com/factchecks/2012/sep/21/chris-devaney/tennessee-gop-chairman-says-obama-surrogate-admits/,1,,"President Obama campaign surrogate Maryland Gov. Martin O’Malley ""acknowledged that we are not better off than we were four years ago."""
half-true,Andrew Napolitano,"Emails released to the public show Hillary Clinton discussed ""the location of Ambassador Stevens, who of course was murdered, in Libya.""",8/5/2015,news,Lauren Carroll,8/11/2015,https://www.politifact.com/factchecks/2015/aug/11/andrew-napolitano/did-hillary-clinton-emails-reveal-location-ambassa/,1,,"Emails released to the public show Hillary Clinton discussed ""the location of Ambassador Stevens, who of course was murdered, in Libya."""
half-true,Protect Your Vote,"""Liberal out-of-state special interests are spending millions on 5 and 6 to change the way Florida draws its congressional and legislative districts.""",10/28/2010,advertisement,Becky Bowers,10/31/2010,https://www.politifact.com/factchecks/2010/oct/31/protect-your-vote/opponent-amendments-5-6-claims-liberal-out-state-d/,1,,"""Liberal out-of-state special interests are spending millions on 5 and 6 to change the way Florida draws its congressional and legislative districts."""
mostly-true,Joe Biden,"""First, he was in favor of my plan, now he's attacking it.""",10/12/2007,other,Angie Drobnic Holan,10/17/2007,https://www.politifact.com/factchecks/2007/oct/17/joe-biden/richardson-first-said-it-might-work/,1,,"""First, he was in favor of my plan, now he's attacking it."""
mostly-true,Hillary Clinton,"Says Bernie Sanders ""voted for regime change with respect to Libya.""",12/19/2015,speech,Lauren Carroll,12/22/2015,https://www.politifact.com/factchecks/2015/dec/22/hillary-clinton/hillary-clinton-says-bernie-sanders-voted-get-rid-/,1,,"Says Bernie Sanders ""voted for regime change with respect to Libya."""
half-true,Chris Hani Baragwanath Hospital,"The Chris Hani Baragwanath in South Africa is ""the world’s third-biggest hospital.""",2/29/2016,blog,Jon Greenberg,2/29/2016,https://www.politifact.com/factchecks/2016/feb/29/chris-hani-baragwanath-hospital/no-soweto-hospital-not-third-largest-world/,1,,"The Chris Hani Baragwanath in South Africa is ""the world’s third-biggest hospital."""
half-true,John Barrow,"""Forty years ago ... about half of congressional districts were genuinely competitive. Today, only about 10 percent of House races on Cook Political Report are listed as ‘toss-ups’ or ‘lean’ to one party.""",5/17/2012,news,Willoughby Mariano,6/4/2012,https://www.politifact.com/factchecks/2012/jun/04/john-barrow/barrow-election-competitiveness-down-congress/,1,,"""Forty years ago ... about half of congressional districts were genuinely competitive. Today, only about 10 percent of House races on Cook Political Report are listed as ‘toss-ups’ or ‘lean’ to one party."""
half-true,Barack Obama,"""If we increase fuel efficiency standards to 40, 45 miles a gallon, we would have to import zero oil from the Middle East.""",6/19/2007,other,Bill Adair,6/22/2007,https://www.politifact.com/factchecks/2007/jun/22/barack-obama/accurate-but-exploits-misconception-and-uses-unrea/,1,,"""If we increase fuel efficiency standards to 40, 45 miles a gallon, we would have to import zero oil from the Middle East."""
half-true,Chris Christie,"Says ""we’ve accomplished balancing two budgets without raising taxes. We’ve now created 60,000 new private-sector jobs. We’ve made government smaller.""",1/17/2012,social_media,Erin O'Neill,1/17/2012,https://www.politifact.com/factchecks/2012/jan/17/chris-christie/chris-christie-touts-accomplishments-video-preview/,1,,"Says ""we’ve accomplished balancing two budgets without raising taxes. We’ve now created 60,000 new private-sector jobs. We’ve made government smaller."""
mostly-true,Joe Pitts,"""More people were killed by terrorists in 2015 than in any other year ever, after an 80 percent increase from 2014.""",2/25/2016,blog,Anna Orso,3/22/2016,https://www.politifact.com/factchecks/2016/mar/22/joe-pitts/rep-joe-pitts-said-2015-saw-80-increase-people-who/,1,,"""More people were killed by terrorists in 2015 than in any other year ever, after an 80 percent increase from 2014."""
half-true,Sheldon Whitehouse,"""No one in Rhode Island -- not just children, no one in Rhode Island -- should eat more than one serving of freshwater fish caught in our state each month.""",6/19/2012,speech,C. Eugene Emery Jr.,7/2/2012,https://www.politifact.com/factchecks/2012/jul/02/sheldon-whitehouse/us-sen-sheldon-whitehouse-says-no-one-should-eat-m/,1,,"""No one in Rhode Island -- not just children, no one in Rhode Island -- should eat more than one serving of freshwater fish caught in our state each month."""
half-true,Progressive Change Campaign Committee and Democracy for America,A Waushara County school closed because of state budget cuts supported by Republican Wisconsin state Sen. Luther Olsen.,8/1/2011,advertisement,James B. Nelson,8/2/2011,https://www.politifact.com/factchecks/2011/aug/02/progressive-change-campaign-committee-and-democrac/progressive-change-campaign-committee-and-democrac/,1,,A Waushara County school closed because of state budget cuts supported by Republican Wisconsin state Sen. Luther Olsen.
true,Brian Kemp,"In Georgia, ""25 percent of rural residents"" are ""without access to high speed internet.""",2/7/2018,campaign,Miriam Valverde,2/12/2018,https://www.politifact.com/factchecks/2018/feb/12/brian-kemp/does-25-percent-rural-georgia-lack-access-high-spe/,1,,"In Georgia, ""25 percent of rural residents"" are ""without access to high speed internet."""
mostly-true,Ted Cruz,"""A majority of the candidates on this stage have supported amnesty ... I have never supported amnesty.""",8/6/2015,speech,Lauren Carroll,8/7/2015,https://www.politifact.com/factchecks/2015/aug/07/ted-cruz/ted-cruz-most-gop-candidates-have-supported-amnest/,1,,"""A majority of the candidates on this stage have supported amnesty ... I have never supported amnesty."""
mostly-true,Peggy Noonan,"Says ""(President) Reagan's second inaugural was moved inside the Capitol. It was. Because of a terrible snowstorm.""",2/16/2014,television,Jon Greenberg,2/16/2014,https://www.politifact.com/factchecks/2014/feb/16/peggy-noonan/noonan-reagans-second-swearing-was-held-inside-cap/,1,,"Says ""(President) Reagan's second inaugural was moved inside the Capitol. It was. Because of a terrible snowstorm."""
true,Hillary Clinton,"""Barack Obama accepted $200,000 from executives and employees of oil companies.""",4/15/2008,advertisement,Bill Adair,4/17/2008,https://www.politifact.com/factchecks/2008/apr/17/hillary-clinton/yes-oil-company-employees-have-donated-to-obama/,1,,"""Barack Obama accepted $200,000 from executives and employees of oil companies."""
half-true,Jeff Jackson,"Says North Carolina ""hospital beds are typically 85% full across the state.""",3/19/2020,social_media,Paul Specht,4/1/2020,https://www.politifact.com/factchecks/2020/apr/01/jeff-jackson/are-nc-hospital-beds-typically-85-full/,1,,"Says North Carolina ""hospital beds are typically 85% full across the state."""
mostly-true,David Dewhurst,"Dan Patrick ""called for increasing the gas tax and the state sales tax.""",3/2/2014,other,W. Gardner Selby,3/17/2014,https://www.politifact.com/factchecks/2014/mar/17/david-dewhurst/dan-patrick-once-called-regular-gas-tax-increases-/,1,,"Dan Patrick ""called for increasing the gas tax and the state sales tax."""
mostly-true,Marco Rubio,"""The child tax credit, if we don't do it, there will be no tax relief for working families. How much tax relief working families get under tax reform is entirely dependent on whether or not we put in place an increase to the child tax credit.""",10/15/2017,news,Allison Graves,10/19/2017,https://www.politifact.com/factchecks/2017/oct/19/marco-rubio/rubio-says-child-tax-credit-key-amount-tax-relief-/,1,,"""The child tax credit, if we don't do it, there will be no tax relief for working families. How much tax relief working families get under tax reform is entirely dependent on whether or not we put in place an increase to the child tax credit."""
half-true,Barack Obama,"For people with insurance, the only impact of the health care law ""is that their insurance is stronger, better and more secure than it was before. Full stop. That's it. They don't have to worry about anything else.""",4/30/2013,news,Becky Bowers,5/2/2013,https://www.politifact.com/factchecks/2013/may/02/barack-obama/president-barack-obama-says-people-health-insuranc/,1,,"For people with insurance, the only impact of the health care law ""is that their insurance is stronger, better and more secure than it was before. Full stop. That's it. They don't have to worry about anything else."""
half-true,Fox News Channel,"Donald Trump’s decision to skip the Fox News/Google debate in Des Moines ""is near unprecedented.""",1/26/2016,news,Linda Qiu,1/28/2016,https://www.politifact.com/factchecks/2016/jan/28/fox-news-channel/how-often-do-presidential-candidates-skip-debates-/,1,,"Donald Trump’s decision to skip the Fox News/Google debate in Des Moines ""is near unprecedented."""
half-true,Yes on 82 and 83 campaign,Says Measures 82 and 83 authorize just one more casino.,9/20/2012,campaign,Janie Har,9/27/2012,https://www.politifact.com/factchecks/2012/sep/27/yes-82-and-83-campaign/do-measures-82-and-83-authorize-just-one-new-casin/,1,,Says Measures 82 and 83 authorize just one more casino.
true,Joe Biden,The president's own FBI director said that the greatest domestic terrorist threat is white supremacists.,10/5/2020,speech,Amy Sherman,10/6/2020,https://www.politifact.com/factchecks/2020/oct/06/joe-biden/fbi-director-warned-about-white-supremacist-violen/,1,,The president's own FBI director said that the greatest domestic terrorist threat is white supremacists.
mostly-true,Michael Doherty,"Says enrolling a student in a subsidized lunch program triggers an ""at risk"" designation, resulting in an extra $6,000 to $7,000 of state school aid per student.",8/22/2011,statement,Erin O'Neill,8/25/2011,https://www.politifact.com/factchecks/2011/aug/25/michael-doherty/state-sen-mike-doherty-says-school-districts-recei/,1,,"Says enrolling a student in a subsidized lunch program triggers an ""at risk"" designation, resulting in an extra $6,000 to $7,000 of state school aid per student."
mostly-true,Republican Governors Association,"Says Andrew Gillum ""wants to increase Florida taxes by a billion dollars.""",9/12/2018,advertisement,Amy Sherman,9/14/2018,https://www.politifact.com/factchecks/2018/sep/14/republican-governors-association/republican-ad-correct-andrew-gillum-wants-raise-fl/,1,,"Says Andrew Gillum ""wants to increase Florida taxes by a billion dollars."""
mostly-true,National Rifle Association,"More people die from ""medical misadventures"" than firearm accidents nationally and in Florida.",1/16/2011,other,Amy Sherman,1/24/2011,https://www.politifact.com/factchecks/2011/jan/24/national-rifle-association/nra-claims-more-die-accident-medical-misadventures/,1,,"More people die from ""medical misadventures"" than firearm accidents nationally and in Florida."
half-true,Tom Barrett,"""Republican Bob Donovan"" has ""run as a Republican time and again.""",3/7/2016,radio,Tom Kertscher,3/11/2016,https://www.politifact.com/factchecks/2016/mar/11/tom-barrett/milwaukee-mayor-tom-barrett-says-challenger-bob-do/,1,,"""Republican Bob Donovan"" has ""run as a Republican time and again."""
half-true,Chris Gregoire,"Says Washington state has ""consistently ranked in the top five in the Forbes list of best states to do business — ahead of Texas.""",11/21/2010,statement,Ciara O'Rourke,11/5/2010,https://www.politifact.com/factchecks/2010/nov/05/chris-gregoire/washington-state-gov-chris-gregoire-says-washingto/,1,,"Says Washington state has ""consistently ranked in the top five in the Forbes list of best states to do business — ahead of Texas."""
half-true,Bobby Jindal,"Says Scott Walker's plan to replace Obamacare ""is a new entitlement"" program for ""every single American human being from the time they are born right up until they grow old and become eligible for Medicare.""",8/18/2015,statement,Tom Kertscher,8/26/2015,https://www.politifact.com/factchecks/2015/aug/26/bobby-jindal/scott-walkers-obamacare-replacement-new-entitlemen/,1,,"Says Scott Walker's plan to replace Obamacare ""is a new entitlement"" program for ""every single American human being from the time they are born right up until they grow old and become eligible for Medicare."""
true,S.E. Cupp,"""There are actually only 30 countries that practice birthright citizenship.""",8/23/2015,news,Will Cabaniss,8/23/2015,https://www.politifact.com/factchecks/2015/aug/23/se-cupp/se-cupp-only-about-30-other-countries-offer-birthr/,1,,"""There are actually only 30 countries that practice birthright citizenship."""
true,Theresa Greenfield,"Farm bankruptcies are ""at an eight-year high.""",10/30/2020,campaign,Lyle Muller,10/31/2020,https://www.politifact.com/factchecks/2020/oct/31/theresa-greenfield/fact-check-farm-bankruptcies-highest-8-years/,1,,"Farm bankruptcies are ""at an eight-year high."""
mostly-true,Joe Biden,"""Thirty years ago, the United States ranked sixth among advanced economies in the share of women in the workforce. You know where we are today? Twenty-three.""",10/5/2021,speech,Louis Jacobson,10/8/2021,https://www.politifact.com/factchecks/2021/oct/08/joe-biden/joe-biden-largely-right-share-us-women-workforce-n/,1,,"""Thirty years ago, the United States ranked sixth among advanced economies in the share of women in the workforce. You know where we are today? Twenty-three."""
true,Ted Cruz,"""In 2020, more journalists were killed in Mexico than in any other country in the world.""",2/16/2022,meeting,Nusaiba Mizan,2/28/2022,https://www.politifact.com/factchecks/2022/feb/28/ted-cruz/ted-cruz-right-more-journalists-killed-mexico-any-/,1,,"""In 2020, more journalists were killed in Mexico than in any other country in the world."""
half-true,Joe Biden,"The typical elementary school teacher pays $7,239 in federal income taxes, and firefighters pay $5,328, while Donald Trump paid $750.",9/27/2020,campaign,Noah Y. Kim,9/29/2020,https://www.politifact.com/factchecks/2020/sep/29/joe-biden/biden-ad-compares-trumps-taxes-nurses-firefighters/,1,,"The typical elementary school teacher pays $7,239 in federal income taxes, and firefighters pay $5,328, while Donald Trump paid $750."
mostly-true,Eric Toney,"""I'm the only front-line prosecutor in this race that's actually used the resources of the Wisconsin Crime Lab in the prosecution of cases.""",8/22/2021,news,Alan Hovorka,9/13/2021,https://www.politifact.com/factchecks/2021/sep/13/eric-toney/atty-gen-candidate-says-hes-only-front-line-prosec/,1,,"""I'm the only front-line prosecutor in this race that's actually used the resources of the Wisconsin Crime Lab in the prosecution of cases."""
half-true,Lindsey Graham,"""People come here to have babies. They come here to drop a child. It's called 'drop and leave.""",7/28/2010,news,Louis Jacobson,8/6/2010,https://www.politifact.com/factchecks/2010/aug/06/lindsey-graham/illegal-immigrants-anchor-babies-birthright/,1,,"""People come here to have babies. They come here to drop a child. It's called 'drop and leave."""
mostly-true,Mitt Romney,"""I went to the Olympics that was out of balance, and we got it on balance.""",10/22/2012,speech,Louis Jacobson,10/22/2012,https://www.politifact.com/factchecks/2012/oct/23/mitt-romney/mitt-romney-says-he-balanced-budget-salt-lake-city/,1,,"""I went to the Olympics that was out of balance, and we got it on balance."""
half-true,Rick Scott's Starbucks heckler,"Says Rick Scott ""cut Medicaid"" so people can't ""get Obamacare.""",4/5/2016,other,Joshua Gillin,4/6/2016,https://www.politifact.com/factchecks/2016/apr/06/rick-scotts-starbucks-heckler/starbucks-heckler-claims-rick-scott-cut-medicaid-p/,1,,"Says Rick Scott ""cut Medicaid"" so people can't ""get Obamacare."""
mostly-true,Kirsten Gillibrand,"""A black woman in New York City is 12 times more likely to die in childbirth than a white woman.""",2/7/2019,social_media,Jill Terreri Ramos,3/2/2019,https://www.politifact.com/factchecks/2019/mar/02/kirsten-gillibrand/gillibrand-raises-issue-racial-disparity-maternal-/,1,,"""A black woman in New York City is 12 times more likely to die in childbirth than a white woman."""
